ANDERSON_CRAIG,	17,	934,	2.31,	2.25,	50.7,	93.46,	2.78,	2.69,	-1;
AUBIN_J-SEBASTIEN,	19,	822,	2.70,	3.21,	45.7,	88.51,	2.62,	2.49,	-1;
AULD_ALEX,	32,	1722,	2.16,	2.68,	44.6,	90.69,	2.78,	2.60,	-1;
BACKSTROM_NIKLAS,	57,	3302,	2.56,	2.34,	52.2,	91.79,	2.69,	2.56,	-1;
BERNIER_JONATHAN,	4,	238,	3.52,	4.28,	45.2,	85.71,	2.65,	2.39,	-1;
BIRON_MARTIN,	62,	3479,	2.85,	2.62,	52.0,	91.72,	2.71,	2.61,	-1;
BOUCHER_BRIAN,	5,	238,	2.27,	1.76,	56.2,	93.20,	2.58,	2.61,	-1;
BRODEUR_MARTIN,	77,	4535,	2.29,	2.21,	50.9,	91.84,	2.80,	2.66,	1;
BRYZGALOV_ILYA,	63,	3515,	2.32,	2.46,	48.6,	91.92,	2.74,	2.51,	-1;
BUDAJ_PETER,	35,	1911,	2.95,	2.57,	53.4,	90.34,	2.66,	2.51,	-1;
CLOUTIER_DAN,	9,	489,	2.45,	3.43,	41.7,	88.66,	2.59,	2.46,	-1;
CONKLIN_TY,	33,	1865,	2.90,	2.51,	53.6,	92.30,	2.72,	2.64,	-1;
CRAWFORD_COREY,	5,	224,	2.14,	2.14,	50.0,	92.86,	2.88,	2.30,	-1;
DENIS_MARC,	10,	414,	2.75,	4.05,	40.4,	85.93,	2.80,	2.61,	-1;
DIPIETRO_RICK,	63,	3697,	2.29,	2.81,	44.9,	90.24,	2.80,	2.60,	1;
DUBIELEWICZ_WADE,	20,	1132,	2.28,	2.70,	45.7,	91.87,	2.75,	2.61,	-1;
ELLIS_DAN,	44,	2228,	2.67,	2.29,	53.8,	92.56,	2.77,	2.57,	-1;
EMERY_RAY,	31,	1687,	2.88,	3.13,	47.9,	88.94,	2.77,	2.63,	-1;
ERSBERG_ERIK,	14,	798,	2.48,	2.48,	50.0,	92.70,	2.77,	2.44,	-1;
FERNANDEZ_MANNY,	4,	224,	2.68,	4.28,	38.5,	80.95,	2.82,	2.62,	-1;
FLEURY_MARC-ANDRE,	35,	1837,	2.91,	2.35,	55.3,	92.00,	2.65,	2.56,	-1;
GARON_MATHIEU,	47,	2650,	2.56,	2.65,	49.1,	91.36,	2.66,	2.53,	-1;
GERBER_MARTIN,	57,	3197,	3.19,	2.72,	54.0,	91.04,	2.76,	2.58,	-1;
GIGUERE_JEAN-SEBASTIEN,	58,	3265,	2.39,	2.13,	52.8,	92.21,	2.75,	2.59,	-1;
GRAHAME_JOHN,	17,	827,	2.54,	3.70,	40.7,	87.41,	2.73,	2.66,	-1;
HALAK_JAROSLAV,	6,	284,	2.95,	2.11,	58.3,	93.38,	2.56,	2.77,	-1;
HARDING_JOSH,	29,	1510,	2.46,	2.94,	45.6,	90.69,	2.73,	2.54,	-1;
HASEK_DOMINIK,	41,	2346,	3.09,	2.15,	59.0,	90.16,	2.71,	2.56,	-1;
HEDBERG_JOHAN,	36,	1927,	2.21,	3.46,	39.0,	89.18,	2.75,	2.63,	-1;
HILLER_JONAS,	23,	1223,	2.11,	2.06,	50.6,	92.72,	2.74,	2.58,	-1;
HOLMQVIST_JOHAN,	47,	2547,	2.97,	3.04,	49.4,	88.92,	2.75,	2.65,	-1;
HOWARD_JIMMY,	4,	197,	1.22,	2.13,	36.4,	92.63,	2.68,	2.51,	-1;
HUET_CRISTOBAL,	51,	2948,	3.25,	2.30,	58.6,	92.13,	2.74,	2.66,	-1;
JOHNSON_BRENT,	19,	1032,	2.33,	2.67,	46.5,	90.80,	2.73,	2.72,	-1;
JOSEPH_CURTIS,	9,	399,	2.85,	2.55,	52.8,	90.61,	2.53,	2.51,	-1;
KHABIBULIN_NIKOLAI,	50,	2871,	2.90,	2.63,	52.4,	90.83,	2.72,	2.49,	-1;
KIPRUSOFF_MIIKKA,	76,	4378,	2.75,	2.69,	50.6,	90.59,	2.69,	2.53,	-1;
KOLZIG_OLAF,	54,	3153,	2.83,	2.89,	49.5,	89.31,	2.76,	2.69,	-1;
LABARBERA_JASON,	45,	2395,	2.53,	3.03,	45.5,	90.90,	2.66,	2.47,	-1;
LALIME_PATRICK,	32,	1827,	2.69,	2.82,	48.8,	89.69,	2.62,	2.58,	-1;
LECLAIRE_PASCAL,	54,	2965,	2.33,	2.23,	51.1,	91.93,	2.75,	2.58,	-1;
LEGACE_MANNY,	66,	3645,	2.44,	2.42,	50.2,	91.04,	2.75,	2.51,	1;
LEHTONEN_KARI,	48,	2706,	2.42,	2.90,	45.4,	91.60,	2.76,	2.62,	-1;
LUNDQVIST_HENRIK,	72,	4279,	2.47,	2.20,	52.8,	91.30,	2.77,	2.64,	-1;
LUONGO_ROBERTO,	73,	4170,	2.42,	2.37,	50.4,	91.72,	2.72,	2.57,	1;
MASON_CHRIS,	51,	2671,	2.65,	2.90,	47.8,	89.79,	2.65,	2.47,	-1;
MILLER_RYAN,	76,	4463,	2.97,	2.65,	52.9,	90.57,	2.76,	2.64,	-1;
NABOKOV_EVGENI,	77,	4475,	2.59,	2.15,	54.7,	90.92,	2.73,	2.56,	1;
NIITTYMAKI_ANTERO,	28,	1385,	2.86,	2.86,	50.0,	90.77,	2.67,	2.64,	-1;
NORRENA_FREDRIK,	37,	1939,	2.26,	2.69,	45.6,	89.68,	2.77,	2.56,	-1;
OSGOOD_CHRIS,	43,	2407,	3.02,	2.07,	59.3,	91.48,	2.67,	2.60,	1;
PAVELEC_ONDREJ,	7,	347,	3.46,	3.11,	52.6,	90.53,	2.79,	2.76,	-1;
PRICE_CAREY,	41,	2388,	2.81,	2.56,	52.3,	91.98,	2.80,	2.61,	-1;
RAMO_KARRI,	22,	1268,	2.55,	2.98,	46.2,	90.02,	2.79,	2.59,	-1;
RASK_TUUKKA,	4,	184,	3.90,	3.25,	54.5,	88.64,	2.90,	2.70,	-1;
RAYCROFT_ANDREW,	19,	944,	2.54,	3.94,	39.2,	87.53,	2.84,	2.62,	-1;
ROLOSON_DWAYNE,	43,	2320,	2.61,	3.05,	46.1,	90.13,	2.71,	2.48,	-1;
SABOURIN_DANY,	24,	1201,	2.70,	2.70,	50.0,	90.75,	2.79,	2.66,	-1;
SANFORD_CURTIS,	16,	665,	2.34,	2.88,	44.8,	89.47,	2.62,	2.55,	-1;
SMITH_MIKE,	34,	1945,	2.44,	2.59,	48.5,	90.08,	2.66,	2.58,	-1;
TELLQVIST_MIKAEL,	22,	1224,	2.70,	2.75,	49.5,	90.74,	2.71,	2.54,	-1;
THEODORE_JOSE,	53,	3028,	2.46,	2.42,	50.4,	91.07,	2.71,	2.55,	-1;
THIBAULT_JOCELYN,	12,	506,	2.85,	3.32,	46.2,	87.10,	2.74,	2.67,	-1;
THOMAS_TIM,	57,	3341,	2.51,	2.41,	51.1,	92.25,	2.82,	2.66,	1;
TOIVONEN_HANNU,	23,	1202,	2.29,	3.39,	40.4,	87.96,	2.66,	2.58,	-1;
TOSKALA_VESA,	66,	3777,	2.80,	2.75,	50.4,	90.36,	2.76,	2.61,	-1;
TURCO_MARTY,	62,	3623,	2.78,	2.32,	54.5,	90.90,	2.68,	2.49,	-1;
VALIQUETTE_STEVE,	13,	685,	2.19,	2.19,	50.0,	91.55,	2.81,	2.73,	-1;
VOKOUN_TOMAS,	69,	3990,	2.53,	2.63,	49.0,	92.02,	2.79,	2.71,	1;
WARD_CAM,	68,	3870,	3.05,	2.73,	52.8,	90.38,	2.73,	2.64,	-1;
WEEKES_KEVIN,	9,	343,	2.62,	2.97,	46.9,	89.38,	2.66,	2.60,	-1;
ANDERSON_CRAIG,	31,	1635,	2.93,	2.71,	51.9,	92.43,	2.84,	2.71,	-1;
AULD_ALEX,	43,	2449,	2.45,	2.45,	50.0,	91.22,	2.89,	2.72,	-1;
BACKSTROM_NIKLAS,	71,	4082,	2.65,	2.34,	53.1,	92.27,	2.85,	2.71,	-1;
BIRON_MARTIN,	55,	3156,	3.02,	2.76,	52.3,	91.50,	2.84,	2.71,	-1;
BISHOP_BEN,	6,	244,	2.69,	2.94,	47.8,	89.29,	2.94,	2.58,	-1;
BOUCHER_BRIAN,	22,	1286,	2.98,	2.19,	57.7,	91.58,	2.77,	2.69,	-1;
BRODEUR_MARTIN,	31,	1813,	2.71,	2.42,	52.9,	91.60,	2.88,	2.80,	-1;
BRYZGALOV_ILYA,	64,	3699,	2.46,	3.02,	45.0,	90.50,	2.84,	2.64,	-1;
BUDAJ_PETER,	56,	3191,	2.07,	2.76,	42.8,	90.25,	2.84,	2.68,	-1;
CLEMMENSEN_SCOTT,	40,	2355,	2.85,	2.34,	54.9,	91.89,	2.88,	2.68,	-1;
CLIMIE_MATT,	3,	184,	2.60,	2.93,	47.1,	89.41,	2.43,	2.51,	-1;
CONKLIN_TY,	39,	2162,	3.66,	2.41,	60.3,	91.19,	2.86,	2.62,	-1;
DANIS_YANN,	31,	1760,	2.08,	2.83,	42.4,	91.08,	2.86,	2.72,	-1;
DIPIETRO_RICK,	5,	255,	2.34,	3.52,	40.0,	89.21,	2.79,	2.90,	-1;
DROUIN-DESLAURIERS_JEFF,	10,	534,	3.14,	3.37,	48.3,	90.00,	2.98,	2.76,	-1;
ELLIOTT_BRIAN,	31,	1667,	2.84,	2.77,	50.6,	90.20,	2.90,	2.76,	-1;
ELLIS_DAN,	35,	1964,	2.38,	2.93,	44.8,	90.03,	2.87,	2.68,	-1;
ERSBERG_ERIK,	28,	1477,	2.48,	2.64,	48.4,	90.02,	2.81,	2.76,	-1;
FERNANDEZ_MANNY,	28,	1644,	3.61,	2.59,	58.2,	91.01,	2.82,	2.77,	-1;
FLEURY_MARC-ANDRE,	62,	3636,	3.04,	2.67,	53.2,	91.23,	2.86,	2.73,	-1;
GARON_MATHIEU,	19,	1020,	2.82,	3.06,	48.0,	89.62,	2.79,	2.76,	-1;
GERBER_MARTIN,	26,	1544,	2.72,	3.03,	47.3,	90.23,	2.91,	2.76,	-1;
GIGUERE_JEAN-SEBASTIEN,	46,	2451,	2.72,	3.11,	46.6,	90.02,	2.86,	2.72,	-1;
HALAK_JAROSLAV,	34,	1930,	3.17,	2.86,	52.6,	91.46,	2.85,	2.71,	-1;
HARDING_JOSH,	19,	849,	2.19,	2.19,	50.0,	92.97,	2.89,	2.72,	-1;
HEDBERG_JOHAN,	33,	1711,	3.40,	3.50,	49.2,	88.56,	2.86,	2.71,	-1;
HILLER_JONAS,	46,	2480,	2.90,	2.40,	54.8,	91.85,	2.73,	2.63,	-1;
HUET_CRISTOBAL,	41,	2330,	2.91,	2.55,	53.3,	90.83,	2.83,	2.63,	-1;
JOHNSON_BRENT,	21,	1131,	3.45,	2.81,	55.1,	90.83,	2.74,	2.73,	-1;
JOSEPH_CURTIS,	20,	835,	2.73,	3.59,	43.2,	86.88,	2.87,	2.81,	-1;
KHABIBULIN_NIKOLAI,	42,	2445,	3.19,	2.33,	57.8,	91.94,	2.87,	2.70,	-1;
KIPRUSOFF_MIIKKA,	76,	4417,	3.08,	2.83,	52.2,	90.34,	2.78,	2.67,	-1;
KOLZIG_OLAF,	8,	410,	2.49,	3.66,	40.5,	89.80,	2.89,	2.74,	-1;
LABARBERA_JASON,	27,	1421,	2.41,	2.74,	46.7,	90.21,	2.83,	2.74,	-1;
LALIME_PATRICK,	24,	1296,	2.41,	3.10,	43.7,	89.97,	2.83,	2.77,	-1;
LECLAIRE_PASCAL,	12,	673,	3.12,	3.83,	44.9,	86.73,	2.82,	2.68,	-1;
LEGACE_MANNY,	29,	1447,	3.15,	3.19,	49.7,	88.49,	2.87,	2.62,	-1;
LEHTONEN_KARI,	46,	2624,	2.72,	3.04,	47.2,	91.10,	2.87,	2.72,	-1;
LEIGHTON_MICHAEL,	19,	1028,	2.27,	2.86,	44.3,	90.30,	2.90,	2.68,	-1;
LUNDQVIST_HENRIK,	70,	4147,	2.40,	2.43,	49.7,	91.63,	2.93,	2.73,	-1;
LUONGO_ROBERTO,	53,	3136,	3.04,	2.30,	57.0,	92.08,	2.78,	2.69,	-1;
MACDONALD_JOEY,	49,	2767,	2.38,	3.38,	41.3,	90.09,	2.90,	2.71,	-1;
MASON_CHRIS,	57,	3214,	2.44,	2.41,	50.4,	91.65,	2.82,	2.67,	-1;
MASON_STEVE,	61,	3661,	2.47,	2.29,	51.9,	91.56,	2.89,	2.69,	-1;
MCELHINNEY_CURTIS,	13,	454,	1.85,	3.57,	34.2,	88.80,	2.76,	2.75,	-1;
MCKENNA_MIKE,	15,	775,	2.55,	3.56,	41.8,	88.67,	2.93,	2.87,	-1;
MILLER_RYAN,	59,	3373,	2.92,	2.56,	53.2,	91.73,	2.92,	2.74,	-1;
MONTOYA_AL,	5,	259,	2.31,	2.08,	52.6,	92.50,	2.38,	2.60,	-1;
NABOKOV_EVGENI,	62,	3681,	2.97,	2.43,	55.0,	91.02,	2.81,	2.71,	-1;
NEUVIRTH_MICHAL,	5,	219,	3.27,	2.73,	54.5,	90.10,	2.88,	2.91,	-1;
NIITTYMAKI_ANTERO,	32,	1804,	3.16,	2.76,	53.4,	91.23,	2.89,	2.67,	-1;
NORRENA_FREDRIK,	8,	323,	2.41,	3.16,	43.3,	87.22,	2.75,	2.78,	-1;
OSGOOD_CHRIS,	46,	2662,	3.27,	3.06,	51.6,	88.73,	2.75,	2.68,	-1;
PAVELEC_ONDREJ,	12,	599,	2.70,	3.60,	42.9,	88.04,	2.83,	2.71,	-1;
POGGE_JUSTIN,	7,	371,	2.91,	4.36,	40.0,	84.39,	2.86,	2.59,	-1;
PRICE_CAREY,	52,	3005,	2.69,	2.83,	48.7,	90.54,	2.90,	2.73,	-1;
QUICK_JONATHAN,	44,	2484,	2.39,	2.49,	49.0,	91.38,	2.88,	2.64,	-1;
RAMO_KARRI,	24,	1306,	2.39,	3.63,	39.7,	89.49,	2.94,	2.68,	-1;
RAYCROFT_ANDREW,	31,	1717,	2.48,	3.11,	44.4,	89.29,	2.87,	2.68,	-1;
RINNE_PEKKA,	52,	2979,	2.54,	2.40,	51.4,	91.67,	2.88,	2.69,	-1;
ROLOSON_DWAYNE,	63,	3591,	2.74,	2.77,	49.7,	91.48,	2.82,	2.65,	-1;
SABOURIN_DANY,	19,	989,	2.30,	2.85,	44.7,	89.85,	2.89,	2.61,	-1;
SANFORD_CURTIS,	19,	972,	2.47,	2.59,	48.8,	90.62,	2.96,	2.62,	-1;
SCHNEIDER_CORY,	8,	355,	2.70,	3.38,	44.4,	87.65,	2.76,	2.65,	-1;
SMITH_MIKE,	41,	2466,	2.41,	2.63,	47.8,	91.56,	2.84,	2.67,	-1;
STEPHAN_TOBIAS,	10,	437,	2.06,	3.70,	35.7,	87.02,	2.79,	2.58,	-1;
TELLQVIST_MIKAEL,	21,	1007,	2.74,	2.62,	51.1,	91.52,	2.83,	2.74,	-1;
THEODORE_JOSE,	57,	3263,	3.03,	2.85,	51.6,	90.10,	2.83,	2.71,	-1;
THOMAS_TIM,	54,	3257,	3.08,	2.10,	59.4,	93.27,	2.90,	2.72,	1;
TOSKALA_VESA,	53,	3016,	2.77,	3.30,	45.6,	88.90,	2.83,	2.67,	-1;
TURCO_MARTY,	74,	4307,	2.70,	2.83,	48.9,	89.76,	2.85,	2.68,	-1;
VALIQUETTE_STEVE,	15,	803,	2.02,	2.76,	42.2,	90.95,	2.93,	2.84,	-1;
VARLAMOV_SEMYON,	6,	328,	3.65,	2.37,	60.6,	91.82,	2.85,	2.85,	-1;
VOKOUN_TOMAS,	59,	3319,	2.51,	2.50,	50.2,	92.56,	2.90,	2.79,	-1;
WARD_CAM,	68,	3908,	2.92,	2.41,	54.8,	91.63,	2.89,	2.77,	-1;
WEEKES_KEVIN,	16,	789,	2.66,	2.43,	52.2,	91.94,	2.78,	2.90,	-1;
ANDERSON_CRAIG,	51,	2860,	2.52,	2.83,	47.1,	91.25,	2.69,	2.51,	-1;
